"","space","transit","access","house_rules","host_since","host_about","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","zipcode","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"2","1","1","1","1","2009","1","1",6,"1",1,"75011",48.8627752147805,2.37467959339099,"5","1","2","3",538,135,500,50,"2",10,5,60,140,99,10,10,10,10,10,10,"0","0",1.3,0.450666666666667,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","172.41824","1407105.25664",1825.2
"3","1","0","0","1","2009","1","0",2,"1",1,"75005",48.8467018854604,2.35094712847129,"2","1","0","1",377,75,0,0,"2",0,2,1125,316,93,10,9,10,10,10,10,"0","0",2.85,0.988,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","0","120.82096","1308249.35488",2223
"4","1","1","0","1","2009","1","0",1,"1",1,"75018",48.8843417260706,2.34004613786621,"2","1","1","1",603,100,500,70,"2",0,5,90,13,95,10,10,9,9,10,10,"0","0",0.44,0.152533333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","193.24944","1433910.8448",457.599999999999
"5","1","0","0","1","2009","1","0",1,"1",0,"75011",48.8657751381789,2.37704607446013,"3","1","0","2",248,79,500,25,"2",0,3,60,288,89,9,9,10,10,9,9,"1","0",2.97,1,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","79.47904","648628.44544",2370
"6","1","1","1","1","2009","1","0",1,"1",0,"75004",48.8533893508036,2.36283619213713,"2","1","1","1",269,78,250,20,"1",5,3,1125,331,92,9,9,10,10,10,9,"0","0",3.15,1,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","1","0","1","1","1","1","0","86.20912","1004767.2936",2340
"7","1","0","0","1","2010","1","0",3,"1",1,"75010",48.8703310450947,2.37152249063361,"4","1","2","2",484,105,300,30,"2",20,2,20,49,87,9,8,9,8,9,9,"1","0",0.65,0.225333333333333,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","0","0","1","1","155.11232","1197156.88576",709.799999999999
"8","1","0","0","1","2010","1","0",1,"1",1,"75018",48.8856459438887,2.35905895116157,"3","1","1","2",560,80,200,0,"2",20,3,14,2,90,10,8,10,10,8,8,"0","0",0.02,0.00693333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","179.4688","1331658.496",16.64
"9","1","1","1","1","2010","1","0",3,"1",1,"75005",48.8387226935181,2.35296523995896,"4","1","1","2",323,98,300,60,"2",20,3,90,182,96,10,10,10,10,10,9,"1","0",1.72,0.596266666666667,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","0","1","0","1","1","0","1","1","103.51504","1120860.85312",1753.024
"10","1","1","1","1","2010","1","0",3,"1",1,"75005",48.8380187902152,2.35446347369343,"3","1","0","2",237,98,250,55,"2",20,2,90,144,90,9,10,10,9,9,9,"1","0",1.4,0.485333333333333,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","0","0","0","1","1","0","1","1","75.95376","822427.31328",1426.88
"11","1","0","0","1","2010","1","0",2,"1",0,"75020",48.8581580109995,2.39973641273103,"6","2","2","3",463,110,450,50,"2",20,2,1125,9,96,9,10,10,10,9,9,"0","0",0.09,0.0312,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","1","1","148.38224","1007812.17408",102.96
"12","1","1","0","0","2010","0","0",1,"1",0,"75020",48.8684186632129,2.40701997997764,"5","1","2","4",753,100,600,30,"4",10,5,45,4,90,10,9,10,10,10,10,"0","0",0.25,0.0866666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","0","1","1","241.32144","1639055.22048",260
"13","1","1","0","0","2010","1","0",1,"1",1,"75017",48.879524602109,2.30543429383594,"2","1","1","1",463,76,0,40,"2",30,180,180,30,90,9,8,10,10,10,9,"0","0",0.29,0.100533333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","148.38224","1261842.56896",229.215999999999
"14","1","1","1","1","2010","1","1",1,"1",0,"75015",48.8533862067787,2.29096887557778,"3","1","2","2",667,120,0,30,"1",19,3,21,151,99,10,10,10,10,10,10,"0","0",1.46,0.506133333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","0","213.76016","1834275.93296",1822.08
"15","1","1","1","0","2010","1","0",3,"1",0,"75018",48.8865889719989,2.34506730125789,"3","1","1","2",355,75,149,45,"2",7,5,90,29,90,9,9,9,9,9,9,"1","0",0.33,0.1144,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","1","113.7704","844176.368",257.4
"16","1","0","1","1","2010","1","0",1,"1",0,"75018",48.8933318387298,2.3391266673408,"2","1","1","1",323,55,300,0,"1",0,4,60,11,89,9,8,10,10,9,9,"0","0",0.22,0.0762666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","1","0","0","0","0","1","1","103.51504","768081.5968",125.84
"17","1","1","1","0","2010","1","0",1,"1",0,"75020",48.8555197282219,2.40457389562977,"4","1","1","1",592,68,200,0,"4",23,2,30,1,100,10,8,10,10,10,10,"0","0",1,0.346666666666667,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","1","0","0","1","0","1","1","189.72416","1288606.49472",707.200000000001
"18","1","1","0","1","2010","1","0",1,"1",1,"75013",48.8292687424108,2.35672062007743,"4","1","2","1",592,70,0,40,"1",0,6,15,52,96,10,10,10,10,9,10,"0","0",0.51,0.1768,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","189.72416","1474156.7232",371.28
"19","1","0","0","1","2010","1","1",1,"1",0,"75012",48.8499536190419,2.373728011207,"2","1","1","0",603,128,500,45,"1",0,2,60,338,99,10,10,10,10,10,10,"1","0",3.33,1,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","1","0","193.24944","1492658.67456",3840
"21","1","1","0","1","2010","1","1",2,"1",1,"75005",48.8397708260165,2.35682068054158,"2","1","1","1",452,88,400,30,"2",10,5,365,59,92,9,9,10,10,10,9,"0","0",0.68,0.235733333333333,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","1","0","1","0","144.85696","1568511.16288",622.335999999999
"22","1","0","0","1","2010","1","0",7,"1",1,"75018",48.8868896383025,2.33364079517435,"4","1","1","2",431,170,450,0,"2",15,3,90,87,97,10,9,10,10,10,9,"0","0",0.88,0.305066666666667,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","1","1","138.12688","1024901.4496",1555.84
"23","1","1","1","1","2010","1","0",1,"1",1,"75013",48.8286540005402,2.37410535242447,"2","1","1","1",420,70,200,30,"1",0,2,15,61,95,10,10,10,10,9,9,"0","0",0.61,0.211466666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","1","0","1","1","134.6016","1045854.432",444.080000000001
"24","1","0","1","0","2010","1","0",1,"1",0,"75019",48.8809856924396,2.39405711079264,"2","1","0","1",215,48,800,38,"1",0,150,1124,25,96,9,9,10,10,9,9,"0","0",0.25,0.0866666666666667,"1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","1","68.9032","448353.1224",124.8
"25","1","0","1","1","2010","1","0",1,"1",0,"75011",48.8492986554094,2.39022284329376,"2","1","1","1",226,58,0,15,"1",0,5,365,38,93,9,9,10,10,10,10,"0","0",0.38,0.131733333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","0","0","1","1","0","1","1","72.42848","591088.82528",229.215999999999
"26","1","1","0","0","2010","1","1",1,"1",1,"75002",48.8706413650264,2.34509525374312,"2","1","1","1",248,85,0,0,"1",0,3,30,42,94,10,10,10,10,10,9,"0","0",0.67,0.232266666666667,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","1","0","0","1","0","1","1","0","0","0","79.47904","742413.71264",592.280000000001
"27","1","1","1","1","2010","1","0",2,"1",1,"75011",48.8567199164877,2.37771431427733,"4","1","1","1",431,139,500,35,"2",20,7,365,11,100,10,10,10,10,10,10,"0","0",0.11,0.0381333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","138.12688","1127253.46768",159.016
"28","1","1","1","1","2010","1","0",1,"1",0,"75003",48.8609090885616,2.36528903148058,"2","1.5","1","1",390,166,1200,40,"1",20,2,14,173,89,9,9,10,10,10,8,"1","0",1.74,0.6032,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","0","124.9872","1286868.2112",3003.936
"29","1","0","0","0","2010","1","0",1,"1",1,"75018",48.8874651962941,2.32604029338765,"4","1","1","2",732,150,500,20,"2",35,3,7,63,90,9,8,10,9,9,8,"0","0",0.64,0.221866666666667,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","0","1","0","234.59136","1740667.8912",998.400000000001
"30","1","1","0","1","2010","1","0",87,"1",0,"75018",48.8848695302995,2.34444702309137,"4","1","1","3",484,155,900,70,"1",50,6,365,2,70,8,6,8,9,8,6,"0","0",0.03,0.0104,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","0","0","1","1","0","1","1","155.11232","1150933.4144",48.36
"31","1","1","1","1","2010","1","1",1,"1",1,"75016",48.8429888594633,2.25844983856378,"3","1","2","2",753,130,800,40,"3",10,5,30,41,96,10,10,10,9,9,9,"0","0",0.51,0.1768,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","241.32144","2135936.06544",689.52
"32","1","1","1","1","2010","1","0",87,"1",0,"75001",48.8656346789086,2.33243916031998,"4","1","1","3",377,175,900,70,"3",50,2,25,27,84,8,9,9,9,10,8,"0","0",0.29,0.100533333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","120.82096","1302087.48592",527.799999999998
"34","1","1","1","1","2010","0","0",1,"1",1,"75010",48.8817321159877,2.3618069150098,"4","1","1","2",646,88,999,34,"2",28,4,90,12,78,9,8,9,9,8,9,"0","0",0.12,0.0416,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1","0","0","0","0","1","1","0","1","1","207.03008","1597858.15744",109.824
"35","1","1","1","0","2010","0","0",1,"1",0,"75004",48.857933035427,2.35864424631551,"4","1.5","2","3",1076,280,1000,80,"1",0,2,1125,13,94,9,9,10,10,10,9,"0","0",1.09,0.377866666666667,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","1","0","0","1","0","344.83648","4019069.1744",3174.08
"36","1","1","1","1","2010","1","0",1,"1",1,"75003",48.8588012950022,2.36659380949401,"4","1","1","2",550,120,800,50,"1",35,3,10,99,90,9,9,9,9,10,9,"1","0",1.01,0.350133333333333,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","176.264","1814814.144",1260.48
"37","1","1","1","1","2010","1","0",1,"1",1,"75019",48.8751571574739,2.38381759944786,"5","1.5","2","2",657,150,1500,35,"3",5,2,30,40,97,10,10,10,10,10,10,"0","0",0.42,0.1456,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","1","1","0","1","1","0","1","1","210.55536","1370083.72752",655.2
"38","1","1","0","1","2011","1","0",4,"1",0,"75006",48.8448782447093,2.33035830372182,"2","1","1","1",377,150,0,0,"1",0,2,60,253,94,10,9,10,10,10,9,"0","0",2.72,0.942933333333334,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","0","120.82096","1503254.38432",4243.2
"39","1","1","1","1","2010","1","0",1,"1",1,"75014",48.8332861345667,2.33062985957912,"6","2","3","4",926,99,4288,100,"3",5,1,14,3,93,10,9,10,10,10,9,"0","0",0.89,0.308533333333333,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","1","0","1","1","0","1","1","296.76448","2483325.16864",916.343999999999
"40","1","1","1","1","2010","1","0",2,"1",1,"75019",48.8936814324569,2.38418667269594,"4","1","1","1",398,120,700,40,"2",20,2,360,12,97,10,9,10,10,9,9,"0","0",0.15,0.052,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","127.55104","829974.61728",187.2
"41","1","1","1","1","2010","1","0",1,"1",1,"75018",48.8874114962762,2.34923875951327,"4","1","1","2",484,70,200,30,"2",10,3,20,34,93,9,9,10,10,8,10,"0","0",0.35,0.121333333333333,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","0","0","0","1","1","0","1","1","155.11232","1150933.4144",254.799999999999
"42","1","1","0","1","2010","1","1",1,"1",1,"75010",48.8747712432392,2.36313819335603,"2","1","1","1",484,103,400,40,"2",30,3,31,85,96,10,9,10,10,10,9,"0","0",0.89,0.308533333333333,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","0","0","1","0","1","1","0","1","1","155.11232","1197156.88576",953.367999999999
"43","1","1","0","1","2010","1","0",7,"1",1,"75019",48.8893525035327,2.37959150242174,"3","1","2","2",969,105,700,50,"2",30,3,1200,16,84,9,7,9,9,9,8,"0","0",0.17,0.0589333333333333,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","310.54512","2020717.09584",185.64
"44","1","1","0","1","2010","1","0",1,"1",0,"75017",48.8952263235821,2.32310021690675,"4","1","1","2",431,60,1000,40,"1",0,2,30,1,100,10,10,10,10,10,10,"0","0",0.37,0.128266666666667,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","1","1","0","1","0","1","1","1","138.12688","1174630.98752",230.880000000001
